"id","year","tif_number","status","url"
"52","1998","13","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_013_BrynMawrBroadwayAR98.pdf"
"53","1998","14","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_014_CentralLoopAR98.pdf"
"54","1998","15","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_015_ChathamRidgeAR98.pdf"
"55","1998","16","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_016_ChinatownBasinAR98.pdf"
"56","1998","19","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_019_EastmanNorthBranchAR98.pdf"
"57","1998","20","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_020_EdgewaterAR98.pdf"
"58","1998","22","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_022_FullertonNormandyAR98.pdf"
"59","1998","23","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_023_GooseIslandAR98.pdf"
"60","1998","24","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_024_HomanArthingtonAR98.pdf"
"61","1998","25","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_025_HomanGrandTrunkAR98.pdf"
"62","1998","26","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_026_HowardPaulinaAR98.pdf"
"63","1998","27","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_027_IrvingCiceroAR98.pdf"
"64","1998","28","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_028_LincolnBelmontAshlandAR98.pdf"
"65","1998","29","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_029_MichiganCermakAR98.pdf"
"66","1998","31","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_031_NearSouthAR98.pdf"
"67","1998","34","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_034_NorthBranchSouthAR98.pdf"
"68","1998","35","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_035_NorthCiceroAR98.pdf"
"69","1998","36","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_036_ReadDunningAR98.pdf"
"70","1998","37","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_037_RiverSouthAR98.pdf"
"71","1998","38","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_038_RooseveltCiceroAR98.pdf"
"72","1998","39","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_039_RooseveltCanalAR98.pdf"
"73","1998","41","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_041_RyanGarfieldAR98.pdf"
"74","1998","42","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_042_SanitaryDrainageShipCanalAR98.pdf"
"75","1998","43","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_043_StockyardsAnnexAR98.pdf"
"76","1998","44","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_044_StockyardsICAR98.pdf"
"77","1998","45","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_045_StockyardsSEQuadrantAR98.pdf"
"78","1998","46","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_046_WestGrandAR98.pdf"
"79","1998","47","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_047_WestRidgePetersonAR98.pdf"
"80","1998","50","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_050_WestPullmanAR98.pdf"
"81","1998","51","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_051_26thKostnerAR98.pdf"
"82","1998","53","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_053_PilsenAR98.pdf"
"83","1998","54","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_054_StonyIslandBurnsideAR98.pdf"
"84","1998","55","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_055_43rdCottageGroveAR98.pdf"
"85","1998","56","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_056_79thAR98.pdf"
"86","1998","57","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_057_JeffersonParkAR98.pdf"
"87","1998","58","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_058_PortageParkAR98.pdf"
"88","1998","59","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_059_CalumetCermakAR98.pdf"
"89","1998","60","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_060_71stStonyIslandAR98.pdf"
"90","1998","61","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_061_BronzevilleAR98.pdf"
"91","1998","62","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_062_RooseveltRacineAR98.pdf"
"92","1998","64","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/98reports/T_064_NorthwestAR98.pdf"
"93","1999","1","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_001_35thHalstedAR99.pdf"
"94","1999","2","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_002_41stKingAR99.pdf"
"95","1999","3","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_003_43rdDamenAR99.pdf"
"96","1999","4","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_004_49thStLawrenceAR99.pdf"
"97","1999","5","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_005_60thWesternAR99.pdf"
"98","1999","6","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_006_72ndCiceroAR99.pdf"
"99","1999","7","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_007_73rdKedzieAR99.pdf"
"100","1999","9","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_009_95thWesternAR99.pdf"
"101","1999","10","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_010_126thTorrenceAR99.pdf"
"102","1999","11","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_011_AddisonNorthAR99.pdf"
"103","1999","12","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_012_BloomingdaleLaramieAR99.pdf"
"104","1999","13","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_013_BrynMawrBroadwayAR99.pdf"
"105","1999","14","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_014_CentralLoopAR99.pdf"
"106","1999","15","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_015_ChathamRidgeAR99.pdf"
"107","1999","16","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_016_ChinatownBasinAR99.pdf"
"108","1999","17","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_017_DivisionHookerAR99.pdf"
"109","1999","18","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_018_DivisionNorthBranchAR99.pdf"
"110","1999","19","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_019_EastmanNorthBranchAR99.pdf"
"111","1999","20","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_020_EdgewaterAR99.pdf"
"112","1999","21","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_021_EnglewoodMallAR99.pdf"
"113","1999","22","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_022_FullertonNormandyAR99.pdf"
"114","1999","24","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_024_HomanArthingtonAR99.pdf"
"115","1999","25","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_025_HomanGrandTrunkAR99.pdf"
"116","1999","26","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_026_HowardPaulinaAR99.pdf"
"117","1999","27","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_027_IrvingCiceroAR99.pdf"
"118","1999","28","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_028_LincolnBelmontAshlandAR99.pdf"
"119","1999","29","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_029_MichiganCermakAR99.pdf"
"120","1999","30","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_030_NearNorthAR99.pdf"
"121","1999","31","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_031_NearSouthAR99.pdf"
"122","1999","32","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_032_NearWestAR99.pdf"
"123","1999","33","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_033_NorthBranchNorthAR99.pdf"
"124","1999","34","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_034_NorthBranchSouthAR99.pdf"
"125","1999","35","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_035_NorthCiceroAR99.pdf"
"126","1999","36","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_036_ReadDunningAR99.pdf"
"127","1999","37","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_037_RiverSouthAR99.pdf"
"128","1999","38","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_038_RooseveltCiceroAR99.pdf"
