tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
Division/North Branch,1999,18,234330,307972,0,0,0,497782
Eastman/North Branch,1999,19,126058,9246,0,0,0,374574
Edgewater,1999,20,245158,7761,0,-308446,0,1041384
Englewood Mall,1999,21,464672,17207,0,0,0,1775124
Fullteron/Normandy,1999,22,530008,15478,0,0,0,1976821
Homan-Arthington,1999,24,138562,3409,0,0,0,135661
Homan/Grand Trunk,1999,25,244086,11550,0,0,0,788428
Howard-Paulina,1999,26,436980,11011,0,0,0,2468781
Irving/Cicero,1999,27,428179,315547,0,0,0,674387
Lincoln-Belmont-Ashland,1999,28,886166,905940,0,0,0,1887422
Michigan/Cermak,1999,29,209013,30329,0,366666,0,654080
Near North,1999,30,1441844,18543401,0,0,0,39620140
Near South,1999,31,6984676,12796476,183333,0,0,29302837
Near West,1999,32,2711387,138237,0,0,0,6446617
North Branch (North),1999,33,764525,20491,0,0,0,746816
North Branch (South),1999,34,432157,11458,0,0,0,422407
North-Cicero,1999,35,42269,887,0,0,0,41972
Read-Dunning,1999,36,1793064,744383,0,0,0,5375543
River South,1999,37,874198,28286052,2500000,0,0,1727258
Roosevelt/Cicero,1999,38,132138,3235,0,0,0,129387
Roosevelt/Canal,1999,39,617325,350182,0,0,0,638321
Roosevelt-Homan,1999,40,469899,63834,0,0,0,1051214
Ryan/Garfield,1999,41,317293,305132,0,0,0,3920603
Sanitary Drainage and Ship Canal,1999,42,0,0,0,0,0,0
Stockyards Annex,1999,43,568188,41462,0,0,0,2447744
Stockyards Industrial Commercial,1999,44,2417720,1434373,0,0,0,9647999
Stockyards Southeast Quadrant Industrial,1999,45,1820165,5823103,0,0,0,16968152
West Grand,1999,46,74262,1484,0,0,0,73002
West Ridge/Peterson,1999,47,285487,16098,0,0,0,1318460
Western/Ogden,1999,48,492737,11435,0,0,0,483041
89th and State,1999,49,0,0,0,0,0,0
West Pullman Industrial Park Conservation Area,1999,50,0,0,0,0,0,0
26th/Kostner,1999,51,0,0,0,0,0,0
Kinzie Industrial Corridor,1999,52,2825205,73534,0,0,0,2762694
Pilsen Industrial Corridor,1999,53,602654,16443,0,0,0,588656
Stony Island Avenue Commercial and Burnside Industrial Corridors,1999,54,290646,8089,0,0,0,283887
43rd/Cottage Grove,1999,55,66222,1624,0,0,0,64845
79th Street Corridor,1999,56,225324,6093,0,0,0,220155
Jefferson Park Business District,1999,57,0,0,0,0,0,0
Portage Park,1999,58,29416,51862,0,0,0,1407576
Calumet Avenue/Cermak Road,1999,59,16416,480,183333,0,0,199366
71st/Stony Island,1999,60,0,0,0,0,0,0
Bronzeville,1999,61,553,350000,0,0,0,553
Roosevelt/Racine,1999,62,0,0,0,0,0,0
Canal/Congress,1999,63,6440,176,0,0,0,6289
Northwest Industrial Corridor,1999,64,0,0,0,0,0,0
Woodlawn,1999,65,902,650000,0,0,0,902
Greater Southwest Industrial Corridor (East),1999,66,105340,2377,0,0,0,103311
Archer Courts,1999,67,0,0,0,0,0,0
Roosevelt/Union,1999,68,0,0,0,0,0,0
Pulaski Corridor,1999,69,0,0,0,0,0,0
Galewood/Armitage Industrial,1999,71,0,0,0,0,0,0
111th Street/Kedzie Avenue Business District,1999,73,0,0,0,0,0,0
Clark Street and Ridge Avenue,1999,74,0,0,0,0,0,0
Madison/Austin Corridor,1999,75,0,0,0,0,0,0
Devon/Western,1999,76,0,0,0,0,0,0
Lincoln Avenue,1999,77,0,0,0,0,0,0
South Works Industrial,1999,78,0,0,0,0,0,0
35th and Wallace,1999,79,0,0,0,0,0,0
35th/Halsted,2000,1,545489,82470,0,0,0,719052
41st/King,2000,2,98337,103293,0,0,0,899600
43rd/Damen,2000,3,216096,9859,0,0,0,668791
49th Street/St. Lawrence Avenue,2000,4,172300,171595,0,0,0,139217
60th and Western,2000,5,290174,11830,0,0,0,569664
72nd and Cicero,2000,6,188549,9130,0,0,0,390616
73rd and Kedzie,2000,7,139131,7090,0,0,0,291694
95th Street and Stony Island,2000,8,150654,461250,0,0,0,644112
95th and Western,2000,9,377038,366777,0,0,0,1632192
126th and Torrence,2000,10,0,0,0,0,0,0
Addison Corridor North,2000,11,135681,6982,0,0,0,249956
Bloomingdale/Laramie,2000,12,0,0,0,0,0,0
Bryn Mawr/Broadway,2000,13,231301,693104,245483,0,0,970316
Central Loop,2000,14,44604950,82390798,0,18000000,0,238656362
Chatham-Ridge,2000,15,1482290,1149068,0,0,0,8170764
Division-Hooker,2000,17,271773,525878,0,0,0,281601
Division/North Branch,2000,18,234090,316047,0,0,0,448554
Division/North Branch,2000,18,234090,316047,0,0,0,448554
Eastman/North Branch,2000,19,129323,8238,0,0,0,508885
Edgewater,2000,20,244837,11368,0,245483,0,107886
Englewood Mall,2000,21,455724,18350,0,0,0,2312798
Fullteron/Normandy,2000,22,501267,16270,0,0,0,2562853
Homan-Arthington,2000,24,151951,8670,0,0,0,286280
Homan/Grand Trunk,2000,25,227588,384556,0,0,0,646538
Howard-Paulina,2000,26,464636,16933,0,0,0,3060242
Irving/Cicero,2000,27,344337,385775,0,0,0,774042
Lincoln-Belmont-Ashland,2000,28,863604,760156,0,0,0,2112940
Michigan/Cermak,2000,29,154108,188931,0,0,0,664984
Near North,2000,30,2353250,27826742,0,0,0,15711369
Near South,2000,31,8809910,16764693,0,0,0,24842328
Near West,2000,32,3108482,1755945,0,0,0,20598070
North Branch (North),2000,33,1225572,32880,0,0,0,1977067
North Branch (South),2000,34,692502,19703,0,0,0,1116984
North-Cicero,2000,35,40323,7693,0,0,0,93093
Read-Dunning,2000,36,1730511,715523,0,0,0,6632150
River South,2000,37,1805844,215748,0,0,0,3581016
Roosevelt/Cicero,2000,38,376040,14997,0,0,0,497920
Roosevelt/Canal,2000,39,998425,637909,0,0,0,1015523
Ryan/Garfield,2000,41,277570,310140,0,0,0,4268491
Sanitary Drainage and Ship Canal,2000,42,826227,544878,0,0,0,2082485
Stockyards Annex,2000,43,800838,77105,0,0,0,2226535
