tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
Eastman/North Branch,2006,19,182606,7321,0,0,0,606315
Edgewater,2006,20,280532,10384,0,-342551,0,1393637
Englewood Mall,2006,21,472921,21194,0,0,0,4237453
Goose Island,2006,23,2452919,3198144,0,-229659,0,6743983
Homan-Arthington,2006,24,217864,209694,0,0,0,3194796
Homan/Grand Trunk,2006,25,199368,7659,0,0,0,1827359
Howard-Paulina,2006,26,1881410,7308123,0,0,0,3910715
Irving/Cicero,2006,27,556881,1065302,518497,0,0,735680
Lincoln-Belmont-Ashland,2006,28,999953,1098619,0,0,0,2134268
Michigan/Cermak,2006,29,376620,11739,615000,0,0,2460903
Near North,2006,30,11837801,8355818,0,-311075,0,29314096
Near South,2006,31,32716916,26908757,0,-3315000,0,82323472
Near West,2006,32,7998795,3214830,0,0,0,36567209
North Branch (North),2006,33,4047814,588137,0,0,0,14855962
North Branch (South),2006,34,4264211,1742012,0,0,0,14101764
North-Cicero,2006,35,1085878,1026479,0,0,0,1345697
Read-Dunning,2006,36,2205869,3179177,0,0,0,5110357
River South,2006,37,7500959,479051,0,0,0,19309121
Roosevelt/Cicero,2006,38,1880764,784358,0,0,0,5558328
Roosevelt/Canal,2006,39,1262446,742665,0,0,0,1740985
Roosevelt-Homan,2006,40,667455,250839,0,0,0,3997341
Ryan/Garfield,2006,41,339078,305970,0,0,0,4274291
Sanitary Drainage and Ship Canal,2006,42,829353,656909,0,0,0,1474556
Stockyards Annex,2006,43,1383582,358348,0,0,0,7926399
Stockyards Industrial Commercial,2006,44,1896534,1937206,0,-246730,0,8191361
Stockyards Southeast Quadrant Industrial,2006,45,1759471,2160818,246730,0,0,13849009
West Grand,2006,46,95630,5551,0,0,0,100568
West Ridge/Peterson,2006,47,17392,6028,0,0,0,3062453
Western/Ogden,2006,48,2506788,5421661,0,0,0,4010466
89th and State,2006,49,241497,559209,0,0,0,39308
West Pullman Industrial Park Conservation Area,2006,50,0,0,0,0,0,0
26th/Kostner,2006,51,42678,3174,0,0,0,108065
Kinzie Industrial Corridor,2006,52,11733847,6161102,0,0,0,30816453
Pilsen Industrial Corridor,2006,53,6677772,8252479,0,0,0,44425701
Stony Island Avenue Commercial and Burnside Industrial Corridors,2006,54,1910184,1412525,0,0,0,5252753
43rd/Cottage Grove,2006,55,1373349,963507,0,0,0,2795060
79th Street Corridor,2006,56,467976,204973,0,0,0,1334607
Jefferson Park Business District,2006,57,599964,1706518,853000,0,0,1073214
Portage Park,2006,58,2172784,352180,0,-1371496,0,5003117
Calumet Avenue/Cermak Road,2006,59,10817907,223844,0,-810000,0,41004298
71st/Stony Island,2006,60,1963565,96078,0,0,0,7312306
Bronzeville,2006,61,2597496,107277,0,0,0,8239059
Roosevelt/Racine,2006,62,223459,8104,0,0,0,347594
Canal/Congress,2006,63,12883154,6049241,0,-3500000,0,26349358
Northwest Industrial Corridor,2006,64,3816760,824674,0,0,0,12617032
Woodlawn,2006,65,1935251,44416,0,0,0,5320443
Greater Southwest Industrial Corridor (East),2006,66,542960,335363,0,0,0,1042669
Archer Courts,2006,67,292999,2114709,0,0,0,860066
Roosevelt/Union,2006,68,3084548,4208701,0,0,0,3698485
Pulaski Corridor,2006,69,2263194,697658,0,0,0,6296885
Clark/Montrose,2006,70,1151289,341809,0,0,0,4059473
Galewood/Armitage Industrial,2006,71,1100418,70006,0,0,0,3816628
24th/Michigan,2006,72,250323,3748730,3510000,0,0,952134
111th Street/Kedzie Avenue Business District,2006,73,381777,160176,0,0,0,928753
Clark Street and Ridge Avenue,2006,74,1222288,28564,0,0,0,3919806
Madison/Austin Corridor,2006,75,888617,282893,2883720,0,0,6510473
Devon/Western,2006,76,2195254,87073,0,0,0,7333151
Lincoln Avenue,2006,77,2224992,785373,0,0,0,6486917
South Works Industrial,2006,78,143795,6531,0,0,0,330922
35th and Wallace,2006,79,194069,7468,0,0,0,544176
Addison/Kimball,2006,80,557722,14015,0,0,0,1684828
Belmont/Central,2006,81,2216650,242709,0,0,0,7286640
Belmont/Cicero,2006,82,920972,1155605,0,0,0,2146210
West Irving Park,2006,83,844081,29594,0,0,0,4954546
Western Avenue North,2006,84,2935816,636218,0,-250000,0,9835065
Western Avenue South,2006,85,4004594,6320072,0,-250000,0,7170318
Central West,2006,86,8056466,14832957,0,0,0,16895869
Fullerton/Milwaukee,2006,87,3249086,1790847,0,0,0,9733283
Lawrence/Kedzie,2006,88,4671081,1335278,0,-2500000,0,9604552
Midway Industrial Corridor,2006,89,1258384,37388,0,0,0,3497460
Peterson/Cicero,2006,90,0,0,0,0,0,0
Peterson/Pulaski,2006,91,765403,92990,0,0,0,2321477
Greater Southwest Industrial Corridor (West),2006,92,743415,48608,0,0,0,4373088
South Chicago,2006,93,890166,137091,0,0,0,1603333
Chicago/Kingsbury,2006,94,8393021,2908798,0,0,0,15266016
Midwest,2006,95,6845395,3272636,0,-2883720,0,17209677
Cicero/Archer,2006,96,693593,20058,0,0,0,2380372
51st/Archer,2006,97,395114,11530,0,0,0,1557913
63rd/Pulaski,2006,98,1486426,92874,0,0,0,4676297
Archer/Central,2006,99,560205,15898,0,0,0,1737908
Ohio/Wabash,2006,100,1516122,139999,0,0,0,1457174
Jefferson/Roosevelt,2006,101,1278743,415964,3500000,0,0,7385384
Montclare,2006,102,274634,179722,0,0,0,217002
Lake Calumet Area Industrial,2006,103,1726742,398015,0,0,0,4628697
River West,2006,104,7912412,940101,0,0,0,15334276
53rd Street,2006,105,576297,16047,0,0,0,1873251
Englewood Neighborhood,2006,106,2570952,617936,0,0,0,7853135
Division/Homan,2006,107,671860,555837,0,0,0,2015025
Humboldt Park Commercial,2006,108,1509068,516294,0,0,0,5046809
Lawrence/Broadway,2006,109,2328941,2202702,0,0,0,1960084
Wilson Yard,2006,110,4421404,3864168,0,0,0,6706999
105th/Vincennes,2006,111,130723,6279,0,0,0,300374
79th Street/Southwest Highway,2006,112,714346,18334,0,0,0,1735860
Roseland/Michigan,2006,113,194078,7692,0,0,0,581990
119th and Halsted,2006,114,248722,9082,0,0,0,821688
Chicago/Central Park,2006,115,3468690,685457,0,0,0,10448634
Lawrence/Pulaski,2006,116,677921,2427251,2500000,0,0,2556525
47th/Ashland,2006,117,1552029,415869,0,0,0,3748417
47th/King Drive,2006,118,3368139,125117,0,0,0,8595914
Lakefront,2006,119,327139,64017,0,0,0,354415
45th/Western Industrial Park Conservation Area,2006,120,146622,179808,0,0,0,144973
47th/Halsted,2006,121,1391335,79827,0,0,0,3582299
Drexel Boulevard,2006,122,0,0,0,0,0,0
Avalon Park/South Shore,2006,123,425351,52745,0,0,0,1197019
67th/Cicero,2006,124,200000,0,0,0,0,200000
119th/I-57,2006,125,493178,67146,0,0,0,1039859
Madden/Wells,2006,126,273250,7827,0,0,0,329601
87th/Cottage Grove,2006,127,1558768,36526,0,0,0,4403808
Commercial Avenue,2006,128,1154867,62976,0,0,0,3133429
Diversey/Narragansett,2006,129,1630145,36768,0,0,0,1948818
Edgewater/Ashland,2006,130,704107,30994,0,0,0,3603093
35th/State,2006,131,240890,8502,0,0,0,667640
40th/State,2006,132,0,0,0,0,0,0
83rd/Stewart,2006,133,0,0,0,0,0,0
Devon/Sheridan,2006,134,470709,386692,0,0,0,575107
Pratt/Ridge Industrial Park Conservation Area,2006,135,0,0,0,0,0,0
47th/State,2006,136,630488,16581,0,0,0,1124690
Lakeside/Clarendon,2006,137,0,0,0,0,0,0
69th/Ashland,2006,138,0,0,0,0,0,0
Ravenswood Corridor,2006,139,0,0,500000,0,0,503977
79th/Cicero,2006,140,0,0,0,0,0,0
26th and King Drive,2006,141,0,0,0,0,0,0
Western Avenue/Rock Island,2006,142,0,0,0,0,0,0
63rd/Ashland,2006,143,0,0,0,0,0,0
Harrison/Central,2006,144,0,0,0,0,0,0
73rd/University,2006,145,0,0,0,0,0,0
Touhy/Western,2006,146,0,0,0,0,0,0
LaSalle Central,2006,147,0,0,0,0,0,0
35th/Halsted,2007,1,3471585,697030,0,0,0,9643781
41st/King,2007,2,141752,77012,0,0,0,404398
43rd/Damen,2007,3,134813,7481,0,0,0,762311
49th Street/St. Lawrence Avenue,2007,4,470392,107226,0,0,0,1246646
60th and Western,2007,5,257169,7007,0,0,0,2609313
72nd and Cicero,2007,6,291359,10097,0,0,0,1437655
73rd and Kedzie,2007,7,0,4714,0,0,0,506064
95th Street and Stony Island,2007,8,1151605,786292,0,0,0,2868604
95th and Western,2007,9,845181,376332,0,0,0,3366576
126th and Torrence,2007,10,919229,1026247,0,0,0,953391
Addison Corridor North,2007,11,1823238,849291,0,0,0,8108450
Bloomingdale/Laramie,2007,12,0,0,0,0,0,558
Bryn Mawr/Broadway,2007,13,1458301,592006,288449,0,0,5177547
Central Loop,2007,14,112141079,96383104,0,0,0,254990539
Chatham-Ridge,2007,15,1722927,4373171,0,0,0,19537705
Chinatown Basin,2007,16,2218077,248724,0,0,0,9780431
Division-Hooker,2007,17,169508,8800,0,0,0,1332560
Division/North Branch,2007,18,89893,312075,0,0,0,341303
Eastman/North Branch,2007,19,230431,8549,0,0,0,837223
Edgewater,2007,20,287671,16179,0,288449,0,1450075
Englewood Mall,2007,21,484373,190714,0,0,0,4756379
Goose Island,2007,23,3009672,2393307,0,0,0,7590464
Homan-Arthington,2007,24,1022233,23096,0,0,0,5435794
Homan/Grand Trunk,2007,25,176748,7327,0,0,0,1827574
Howard-Paulina,2007,26,1941987,89919,0,0,0,6042386
Irving/Cicero,2007,27,576797,572028,0,0,0,776176
Lincoln-Belmont-Ashland,2007,28,1019964,1372013,0,0,0,1881358
Michigan/Cermak,2007,29,581181,675789,0,0,0,2466199
Near North,2007,30,15034788,4906845,0,0,0,1441033
Near South,2007,31,38476094,31466479,0,0,0,91710882
Near West,2007,32,10551035,1806485,0,-7411497,0,39568404
North Branch (North),2007,33,3602801,586915,0,0,0,18084904
North Branch (South),2007,34,5085082,856412,0,0,0,18541618
North-Cicero,2007,35,1270934,1000810,0,0,0,1634947
Read-Dunning,2007,36,2284817,1386327,0,0,0,6238091
River South,2007,37,10455473,984789,0,0,0,29920568
Roosevelt/Cicero,2007,38,1903817,522134,0,0,0,5423528
Roosevelt/Canal,2007,39,1089343,19578,0,0,0,2839717
Roosevelt-Homan,2007,40,871662,16420,0,0,0,5080536
Ryan/Garfield,2007,41,366706,302022,0,0,0,4838265
Sanitary Drainage and Ship Canal,2007,42,815114,741747,0,0,0,1621153
Stockyards Annex,2007,43,1800069,154324,0,0,0,9685974
Stockyards Industrial Commercial,2007,44,2209528,5073905,0,-2000000,0,3558759
Stockyards Southeast Quadrant Industrial,2007,45,1998204,11616171,2000000,0,0,6564064
West Grand,2007,46,85223,100294,0,0,0,86694
West Ridge/Peterson,2007,47,319099,2610610,0,0,0,910364
Western/Ogden,2007,48,5101397,2534001,0,0,0,6633022
89th and State,2007,49,317654,9691,0,0,0,350439
West Pullman Industrial Park Conservation Area,2007,50,13120,2829,0,0,0,10694
26th/Kostner,2007,51,112892,6004,0,0,0,217506
Kinzie Industrial Corridor,2007,52,15355677,6025702,0,2103109,0,38559991
Pilsen Industrial Corridor,2007,53,8839085,7165255,0,0,0,48102537
Stony Island Avenue Commercial and Burnside Industrial Corridors,2007,54,2328636,454916,0,1534291,0,5664109
43rd/Cottage Grove,2007,55,2801871,593732,0,380140,0,5928083
79th Street Corridor,2007,56,890945,16684,0,0,0,2798191
Jefferson Park Business District,2007,57,851897,182161,0,0,0,1761290
Portage Park,2007,58,2970156,338257,0,0,0,7714345
Calumet Avenue/Cermak Road,2007,59,8118702,152839,0,0,0,49574507
71st/Stony Island,2007,60,3096452,3926609,6381356,0,0,81065938
Bronzeville,2007,61,4329444,70538,0,0,0,12625006
Roosevelt/Racine,2007,62,935910,15963,0,0,0,1274011
Canal/Congress,2007,63,16371002,4086560,0,-9000000,0,29932342
Northwest Industrial Corridor,2007,64,8512021,2355977,0,391864,0,18924712
Woodlawn,2007,65,2348492,54904,0,2333217,0,5345946
Greater Southwest Industrial Corridor (East),2007,66,694430,15171,0,0,0,1739362
Archer Courts,2007,67,319217,115244,0,0,0,1076893
Roosevelt/Union,2007,68,3234530,3207463,0,0,0,3766223
Pulaski Corridor,2007,69,3529214,2447751,0,694464,0,6775938
Clark/Montrose,2007,70,1944861,1698171,0,0,0,4356438
Galewood/Armitage Industrial,2007,71,1893436,393333,1256363,0,0,13407666
24th/Michigan,2007,72,568889,13056,0,0,0,1574341
111th Street/Kedzie Avenue Business District,2007,73,535843,236605,0,0,0,1230353
Clark Street and Ridge Avenue,2007,74,1738558,1492924,0,0,0,4220781
Madison/Austin Corridor,2007,75,1722009,25113687,4599799,-983720,0,38139842
Devon/Western,2007,76,1173077,157918,0,1888363,0,6552201
Lincoln Avenue,2007,77,2332407,4175135,2870121,0,0,38939928
South Works Industrial,2007,78,167089,7007,0,0,0,496314
35th and Wallace,2007,79,367243,9866,0,0,0,910156
Addison/Kimball,2007,80,521414,12310,0,0,0,1661712
Belmont/Central,2007,81,3073595,902124,0,1137388,0,8421679
Belmont/Cicero,2007,82,1284084,151278,0,0,0,3313047
West Irving Park,2007,83,1126754,78312,0,0,0,6074219
Western Avenue North,2007,84,3992417,1510362,0,2320121,0,10120892
Western Avenue South,2007,85,5549642,686045,0,0,0,12156506
Central West,2007,86,10963392,6855033,7411497,0,0,62728988
Fullerton/Milwaukee,2007,87,5220658,5287104,0,0,0,19401823
Lawrence/Kedzie,2007,88,7467354,30022424,0,0,0,-7149252
Midway Industrial Corridor,2007,89,1604659,40013,0,1270798,0,3836738
Peterson/Cicero,2007,90,17714,975,0,0,0,16755
Peterson/Pulaski,2007,91,1051424,177316,0,0,0,3230472
Greater Southwest Industrial Corridor (West),2007,92,1022233,23096,0,0,0,5435794
South Chicago,2007,93,907872,1103545,0,0,0,1507957
Chicago/Kingsbury,2007,94,9830628,5911608,0,4150946,0,15218512
Midwest,2007,95,11197315,7652636,983720,-3803554,0,50071253
Cicero/Archer,2007,96,852190,31323,0,0,0,3237314
51st/Archer,2007,97,717771,1578978,2658502,0,0,35436578
63rd/Pulaski,2007,98,2090475,245186,0,1387704,0,5193834
Archer/Central,2007,99,906319,18773,0,0,0,2653162
Ohio/Wabash,2007,100,1508246,1447062,0,0,0,1530905
Jefferson/Roosevelt,2007,101,1975356,8125650,9000000,0,0,10378035
Montclare,2007,102,405584,225537,0,0,0,400007
Lake Calumet Area Industrial,2007,103,5783104,107778,0,0,0,10380840
River West,2007,104,8393555,9589772,0,0,0,14356280
53rd Street,2007,105,755226,185434,0,0,0,2471589
Englewood Neighborhood,2007,106,4380202,1397906,0,0,0,10969042
Division/Homan,2007,107,990926,218815,0,0,0,2828307
Humboldt Park Commercial,2007,108,2396812,3869435,0,0,0,3683300
Lawrence/Broadway,2007,109,3193766,120225,0,0,0,5075720
Wilson Yard,2007,110,5688740,2031307,0,0,0,10473681
105th/Vincennes,2007,111,169551,29640,0,0,0,444912
79th Street/Southwest Highway,2007,112,1163970,23341,0,0,0,2905344
Roseland/Michigan,2007,113,528098,13899,0,0,0,1105516
119th and Halsted,2007,114,679817,539157,0,0,0,1855915
Chicago/Central Park,2007,115,5127981,61645832,5796217,0,0,33627784
Lawrence/Pulaski,2007,116,1158307,58149,0,0,0,3695149
47th/Ashland,2007,117,2442747,73274,0,0,0,6181493
47th/King Drive,2007,118,5584374,101959,0,0,0,14222283
Lakefront,2007,119,132213,190853,0,0,0,298667
45th/Western Industrial Park Conservation Area,2007,120,147340,143062,0,0,0,150889
47th/Halsted,2007,121,2377506,55748,0,0,0,5963035
Drexel Boulevard,2007,122,127740,74769,0,0,0,89651
Avalon Park/South Shore,2007,123,703851,15865,0,-500680,0,1400583
67th/Cicero,2007,124,308646,198033,0,0,0,312547
119th/I-57,2007,125,755920,740342,0,0,0,2080149
Madden/Wells,2007,126,531308,605912,380140,0,0,641120
87th/Cottage Grove,2007,127,1839350,39834,0,-2013168,0,4247401
Commercial Avenue,2007,128,1614873,30526,0,0,0,4768992
Diversey/Narragansett,2007,129,1890479,980870,0,0,0,2889492
Edgewater/Ashland,2007,130,48743,3919,0,0,0,3698708
35th/State,2007,131,387946,10821,0,0,0,1053989
40th/State,2007,132,0,0,0,0,0,0
83rd/Stewart,2007,133,222787,1993,0,0,0,220998
Devon/Sheridan,2007,134,340659,155832,0,0,0,1274203
Pratt/Ridge Industrial Park Conservation Area,2007,135,0,0,0,0,0,0
47th/State,2007,136,1164436,22810,0,0,0,2287331
Lakeside/Clarendon,2007,137,61487,1692,0,0,0,62962
69th/Ashland,2007,138,65521,1733,0,0,0,69954
Ravenswood Corridor,2007,139,551939,90363,0,0,0,972879
79th/Cicero,2007,140,0,0,0,0,0,0
26th and King Drive,2007,141,0,0,0,0,0,0
Western Avenue/Rock Island,2007,142,0,0,0,0,0,0
63rd/Ashland,2007,143,0,0,0,0,0,0
Harrison/Central,2007,144,0,251795,0,0,0,-248350
73rd/University,2007,145,0,0,0,0,0,0
Touhy/Western,2007,146,0,359550,1338363,0,0,8301297
LaSalle Central,2007,147,9827888,167484,0,0,0,9672999
Harlem Industrial Park Conservation Area,2007,148,0,0,0,0,0,0
Stevenson/Brighton,2007,149,0,0,0,0,0,0
Addison South,2007,150,0,0,0,0,0,0
Armitage/Pulaski,2007,151,0,0,0,0,0,0
Little Village Industrial Corridor,2007,152,0,0,0,0,0,0
Elston/Armstrong Industrial Corridor,2007,153,0,0,0,0,0,0
Pershing/King,2007,154,0,0,0,0,0,0
79th/Vincennes,2007,155,0,0,0,0,0,0
Austin Commercial,2007,156,0,0,0,0,0,0
Hollywood/Sheridan,2007,157,0,0,0,0,0,0
35th/Halsted,2008,1,3916557,2449016,0,0,0,11696357
41st/King,2008,2,194854,75981,0,0,0,642819
43rd/Damen,2008,3,64025,7162,0,0,0,823127
49th Street/St. Lawrence Avenue,2008,4,403663,104648,0,0,0,1189680
60th and Western,2008,5,289816,10556,0,0,0,2902969
72nd and Cicero,2008,6,476535,9603,0,0,0,1912693
73rd and Kedzie,2008,7,0,4788,0,0,0,506110
95th Street and Stony Island,2008,8,1368534,553123,0,0,0,3780655
95th and Western,2008,9,924212,363084,0,0,0,3947943
126th and Torrence,2008,10,957819,967384,0,0,0,950455
Addison Corridor North,2008,11,1747007,293571,0,0,0,8022139
Bloomingdale/Laramie,2008,12,0,0,0,0,0,561
Bryn Mawr/Broadway,2008,13,1838281,920738,287963,0,0,6439333
Central Loop,2008,14,103053804,365526448,2900000,0,0,-236162
Chatham-Ridge,2008,15,1656569,9525075,0,0,0,13646391
Chinatown Basin,2008,16,2467462,1225765,0,0,0,10225621
Division-Hooker,2008,17,218121,11828,0,0,0,1345314
Division/North Branch,2008,18,145904,304791,0,0,0,338886
Eastman/North Branch,2008,19,208284,7132,0,0,0,1043523
Edgewater,2008,20,287095,25782,0,-287963,0,1490415
Englewood Mall,2008,21,532828,174487,0,0,0,5320819
Goose Island,2008,23,3344951,1935185,0,0,0,9107821
Homan-Arthington,2008,24,590292,12864,0,0,0,3810811
Homan/Grand Trunk,2008,25,342564,13125,0,0,0,2167058
Howard-Paulina,2008,26,1782281,149102,0,0,0,7998744
Irving/Cicero,2008,27,725909,575123,0,0,0,941658
Lincoln-Belmont-Ashland,2008,28,1108332,1188026,0,0,0,1841932
Michigan/Cermak,2008,29,878153,1233161,0,-390000,0,1800031
Near North,2008,30,14950710,6672060,0,0,0,43112043
Near South,2008,31,46181171,33104426,0,-1450000,0,104518122
Near West,2008,32,10684458,2252666,0,-4217095,0,44925768
North Branch (North),2008,33,3885822,581261,0,0,0,21492979
North Branch (South),2008,34,5361958,1160150,0,0,0,22854256
North-Cicero,2008,35,1300963,1180985,0,0,0,1765313
Read-Dunning,2008,36,2644560,958113,0,0,0,8060602
River South,2008,37,10044765,10673770,0,-7030000,0,23542338
Roosevelt/Cicero,2008,38,2487078,360497,0,-375000,0,7208294
Roosevelt/Canal,2008,39,1185698,27297,0,0,0,4017488
Roosevelt-Homan,2008,40,1024455,722322,0,0,0,5549296
Ryan/Garfield,2008,41,354626,15240,0,0,0,5371047
Sanitary Drainage and Ship Canal,2008,42,1061274,694427,0,0,0,2014127
Stockyards Annex,2008,43,1878585,446298,0,0,0,11173689
Stockyards Industrial Commercial,2008,44,2345050,1572736,0,0,0,4408438
Stockyards Southeast Quadrant Industrial,2008,45,1798639,752979,0,0,0,7700271
West Grand,2008,46,128224,86194,0,0,0,129106
West Ridge/Peterson,2008,47,522195,12658,0,0,0,1494101
Western/Ogden,2008,48,9882494,1594375,0,0,0,19530855
89th and State,2008,49,295218,317660,0,0,0,694599
West Pullman Industrial Park Conservation Area,2008,50,111176,2229,0,0,0,120193
26th/Kostner,2008,51,0,4843,0,0,0,214277
Kinzie Industrial Corridor,2008,52,15986333,7530526,0,-2432174,0,44821059
Pilsen Industrial Corridor,2008,53,9464804,11250832,0,0,0,47305646
Stony Island Avenue Commercial and Burnside Industrial Corridors,2008,54,2277384,980566,0,-713454,0,6283868
43rd/Cottage Grove,2008,55,2845099,484952,0,0,0,6325379
79th Street Corridor,2008,56,867311,18659,0,0,0,2950711
Jefferson Park Business District,2008,57,985750,566045,0,0,0,2193120
Portage Park,2008,58,2848690,294547,0,0,0,10317207
Calumet Avenue/Cermak Road,2008,59,9572334,149153,0,0,0,59270855
71st/Stony Island,2008,60,3529913,10249157,3310952,0,0,80173572
Bronzeville,2008,61,4938614,208272,0,0,0,17435465
Roosevelt/Racine,2008,62,1499922,29981,0,0,0,2754900
Canal/Congress,2008,63,18279866,7821905,0,0,0,40566589
Northwest Industrial Corridor,2008,64,6865104,2550709,0,-2515648,0,14718481
Woodlawn,2008,65,3033865,50040,0,-1013287,0,7354260
Greater Southwest Industrial Corridor (East),2008,66,722036,484446,0,0,0,1986720
Archer Courts,2008,67,237612,113490,0,0,0,1206830
Roosevelt/Union,2008,68,3988415,3135265,0,0,0,4641372
Pulaski Corridor,2008,69,4055493,2258993,0,-637997,0,7998096
Clark/Montrose,2008,70,2043479,473803,0,0,0,5953896
Galewood/Armitage Industrial,2008,71,2468694,8748877,314417,0,0,7654585
24th/Michigan,2008,72,646099,8030935,7420000,0,0,1640133
111th Street/Kedzie Avenue Business District,2008,73,602946,87740,0,0,0,1754052
Clark Street and Ridge Avenue,2008,74,1963150,594396,0,0,0,5618045
Madison/Austin Corridor,2008,75,2147472,27421791,2246349,-575000,0,15026982
Devon/Western,2008,76,2925826,344886,0,-379156,0,8792617
Lincoln Avenue,2008,77,2700205,3986904,1203854,0,0,39932687
South Works Industrial,2008,78,207063,7114,0,0,0,699377
35th and Wallace,2008,79,505118,53709,0,0,0,1367730
Addison/Kimball,2008,80,443352,11688,0,0,0,2103727
Belmont/Central,2008,81,3150445,1448058,0,-212602,0,9965639
Belmont/Cicero,2008,82,1198787,1600425,0,0,0,2929400
West Irving Park,2008,83,1202872,47822,0,0,0,7264311
Western Avenue North,2008,84,4370048,1915457,0,-1203854,0,11440149
Western Avenue South,2008,85,5544287,3657071,0,0,0,14127560
Central West,2008,86,13948078,30834902,4217095,0,0,51138958
Fullerton/Milwaukee,2008,87,6000831,8027488,0,0,0,17789322
Lawrence/Kedzie,2008,88,7143205,6629600,0,0,0,29540108
Midway Industrial Corridor,2008,89,1882914,2130878,0,727530,0,4249007
Peterson/Cicero,2008,90,465044,7041,0,0,0,475272
Peterson/Pulaski,2008,91,1166107,181821,0,0,0,4234904
Greater Southwest Industrial Corridor (West),2008,92,1550527,128126,0,0,0,6889013
South Chicago,2008,93,1146109,298013,0,0,0,2367132
Chicago/Kingsbury,2008,94,11346295,4657594,0,0,0,22008577
Midwest,2008,95,14328463,23101910,0,-2027639,0,40158582
Cicero/Archer,2008,96,919134,20875,0,0,0,4155697
51st/Archer,2008,97,779974,9501148,1514944,0,0,29142404
63rd/Pulaski,2008,98,2253566,423831,0,-1027414,0,6028504
Archer/Central,2008,99,819792,162755,240000,0,0,3566680
Ohio/Wabash,2008,100,1244960,1538128,0,0,0,1250485
Jefferson/Roosevelt,2008,101,3935058,7056626,0,0,0,7293532
Montclare,2008,102,327828,289809,0,0,0,890767
Lake Calumet Area Industrial,2008,103,6252657,950767,0,0,0,15752773
River West,2008,104,9651196,5837459,0,0,0,18269587
53rd Street,2008,105,783194,300814,0,0,0,2969150
Englewood Neighborhood,2008,106,5038674,174999,0,0,0,15910473
Division/Homan,2008,107,1220692,1049012,0,0,0,3519671
Humboldt Park Commercial,2008,108,2690633,1441290,0,0,0,4963786
Lawrence/Broadway,2008,109,3207737,1302442,0,-3000000,0,4012167
Wilson Yard,2008,110,6012133,1097829,0,0,0,15460346
105th/Vincennes,2008,111,234905,8722,0,0,0,674399
79th Street/Southwest Highway,2008,112,1363270,25191,0,0,0,4263237
Roseland/Michigan,2008,113,730363,557582,0,0,0,1286339
119th and Halsted,2008,114,761726,225747,0,0,0,2404054
Chicago/Central Park,2008,115,6376991,17528650,5265294,0,0,28486516
Lawrence/Pulaski,2008,116,1420296,48067,0,0,0,5090791
47th/Ashland,2008,117,2829773,637063,0,0,0,8414854
47th/King Drive,2008,118,7825170,458211,0,-470000,0,21218370
Lakefront,2008,119,60359,65623,0,0,0,294758
45th/Western Industrial Park Conservation Area,2008,120,151541,145354,0,0,0,157688
47th/Halsted,2008,121,3169208,304803,0,0,0,8869807
Drexel Boulevard,2008,122,339566,13421,0,0,0,417584
Avalon Park/South Shore,2008,123,721678,23684,0,298954,0,2519295
67th/Cicero,2008,124,461076,276985,0,0,0,306565
119th/I-57,2008,125,957931,830002,0,0,0,2221840
Madden/Wells,2008,126,653561,67050,0,0,0,1615065
87th/Cottage Grove,2008,127,2126259,255140,0,-1285257,0,4861561
Commercial Avenue,2008,128,1866933,166367,0,0,0,6500994
Diversey/Narragansett,2008,129,2334633,3327450,0,0,0,1913607
Edgewater/Ashland,2008,130,122206,8648,0,0,0,3832285
35th/State,2008,131,417845,70178,0,0,0,1408214
40th/State,2008,132,0,0,0,0,0,0
83rd/Stewart,2008,133,22331,6420,0,0,0,149521
Devon/Sheridan,2008,134,438215,736179,0,0,0,983514
Pratt/Ridge Industrial Park Conservation Area,2008,135,267123,4024,0,0,0,263374
47th/State,2008,136,1628847,28602,0,0,0,3905075
Lakeside/Clarendon,2008,137,63579,1784,0,0,0,125321
69th/Ashland,2008,138,690205,90847,0,0,0,671028
Ravenswood Corridor,2008,139,700810,179969,0,0,0,1500283
79th/Cicero,2008,140,162860,2454,0,0,0,160592
26th and King Drive,2008,141,55854,36,0,0,0,55863
Western Avenue/Rock Island,2008,142,1750029,23894,0,0,0,1728062
63rd/Ashland,2008,143,0,0,0,0,0,0
Harrison/Central,2008,144,825466,705778,950000,0,0,1777311
73rd/University,2008,145,749565,10475,0,0,0,739864
Touhy/Western,2008,146,640378,866564,379156,0,0,8645560
LaSalle Central,2008,147,19164707,676720,0,-1450000,0,26802911
Harlem Industrial Park Conservation Area,2008,148,261958,3678,0,0,0,258532
Stevenson/Brighton,2008,149,902916,12369,0,0,0,891388
Addison South,2008,150,1186301,15901,0,0,0,1171506
Armitage/Pulaski,2008,151,253385,3339,0,0,0,250278
Little Village Industrial Corridor,2008,152,596362,8773,0,0,0,588204
Elston/Armstrong Industrial Corridor,2008,153,725977,5230,0,0,0,72116
Pershing/King,2008,154,98213,1406,470000,0,0,567954
79th/Vincennes,2008,155,888937,6117,0,0,0,883244
Austin Commercial,2008,156,1047185,13764,0,0,0,1034363
Hollywood/Sheridan,2008,157,345445,3002525,3000000,0,0,343884
Weed/Freemont,2008,158,0,0,0,0,0,0
134th and Avenue K,2008,159,0,0,0,0,0,0
Kennedy/Kimball,2008,160,0,0,0,0,0,0
Ogden/Pulaski,2008,161,0,0,0,0,0,0
