labels,examples,where_at
"beginning of year, as restated (note 2)","467232, 423173, 890405 | 175482, 25000, 200482 | 433131, 433131 | 396727, 274100, 670827 | 2235961, 2235961 | 964086, 3114, 967200 | 5456009, 1185753, 6641762 | 332648, 114903, 447551 | 1402047, 19909, 1421956 | 63265, “, 63265 | 101579, 101579 | 1240597, 15340, 1255937 | 721537, 339, 721876 | 460644, 460644","2004_66, 2004_78, 2004_7, 2012_135, 2012_157, 2012_163, 2012_161, 2012_166, 2012_167, 2012_172, 2012_171, 2013_151, 2013_160, 2013_164"
total other financing sources (uses),"30000 | 1435000 | 19475000 | 13056383 | (6000000), 127355455 | 53413856, (49797777), 3616079 | 27553904, (30373738), (2819834) | 1671349, 1671349 | (2453356), (2453356) | 5885000, 5885000 | 25658519, (26658519), (4000000) | 1465000, 1465000 | 535381, 535381 | 2581238, 2581238 | 4516256, 4516256","1997_42, 1997_36, 1997_45, 1997_44, 2001_14, 2007_75, 2007_95, 2008_75, 2009_30, 2010_37, 2010_87, 2012_61, 2012_111, 2012_121, 2012_154"
for the year ended,,"2004_3, 2006_5, 2006_10, 2006_26, 2006_43, 2006_41, 2006_74, 2006_134, 2006_129, 2008_18, 2008_82, 2008_145, 2013_94, 2014_119, 2014_167"
revenue:,,"2006_7, 2006_124, 2007_7, 2007_144, 2007_146, 2008_7, 2009_7, 2010_7, 2010_69, 2010_172, 2011_7, 2012_50, 2013_50, 2014_50, 2014_135"
excess of expenditures and other financing,,"2002_36, 2002_42, 2003_32, 2004_29, 2004_34, 2004_37, 2005_37, 2008_29, 2008_37, 2008_89, 2008_95, 2008_109, 2010_63, 2010_103, 2010_121, 2010_147"
uses over revenues,"(6137514), 6137514 | (1220956), 1220956 | (3015344), 3015344 | (121748), 121748 | (483951), 483951 | (2294752), 2294752 | (1585259), 1585259 | (666168), 666168 | (6378230), 6378230 | (1178852), 1178852 | (9912671), 9912671 | (1063553), 1063553 | (984533), 984533 | (2171734), 2171734 | (594756), 594756 | (4088290), 4088290","2002_36, 2002_42, 2003_32, 2004_29, 2004_34, 2004_37, 2005_37, 2008_29, 2008_37, 2008_89, 2008_95, 2008_109, 2010_63, 2010_103, 2010_121, 2010_147"
.,,"1998_3, 2006_125, 2006_121, 2006_131, 2007_98, 2009_1, 2009_87, 2009_97, 2010_30, 2010_75, 2010_118, 2012_88, 2014_45, 2014_93, 2014_160, 2016_86, 2016_94"
rental revenue,"45675 | 4000, 4000 | 6625, 6625 | 191275, 191275 | 63014, 63014 | 79625, 79625 | 6000, 6000 | 82125, 82125 | 1500, 1500 | 6000, 6000 | 1875, 1875 | 173735, 173735 | 1125, 1125 | 44681, 44681 | 1875, 1875 | 1500, 1500 | 1125, 1125","2001_14, 2002_45, 2003_31, 2004_31, 2002_31, 2005_31, 2006_31, 2007_31, 2008_31, 2008_104, 2009_31, 2009_87, 2010_31, 2010_87, 2011_31, 2012_31, 2013_31"
sale of land,"12680000, 12680000 | 5980000, 5980000 | 3318947, 3318947 | 150000, 150000 | 4846946 | 506427 | 1756557, 1756557 | 380000, 380000 | 33709, 33709 | 26886, 26886 | 833239, 833239 | 41640, 41640 | 2629408, 2629408 | 563394, 563394 | 4482881, 4482881 | {, 1 | 300, 300","2005_14, 2005_31, 2006_14, 2006_31, 2007_14, 2008_14, 2009_104, 2010_69, 2010_87, 2010_104, 2011_53, 2011_104, 2012_37, 2012_86, 2013_31, 2013_60, 2015_60"
revenues over (under) expenditures,"203794, (1479854) | (1540349), 53899 | 322501, (295212) | (358799), 281025 | 146031, (3851280) | 59021, (10965517) | (15987077), 60721 | (3413904), 532678 | 486873, (24989) | (1893), 6316 | 19485(1893) | 103316, (399292) | (2398774), 574909 | (45075), 67269 | 61482, (349085) | (92800), 37784","1997_28, 1998_1, 1998_31, 1999_16, 1999_27, 1999_28, 1999_30, 1999_45, 2000_1, 2000_2, 2001_2, 2001_13, 2001_41, 2001_45, 2001_57, 2001_65, 2001_73"
over expenditures,"1797517 | 2119338 | 23209374 | 727544 | 1216499, 154819 | 2597092, 23209374 | 146031, 516357 | 59021, 1329986 | 39012923, 607217 | 199366 | 1663821, 469824 | 61482, 915 | 6197512 | 1270832, 658 | 132655, (132655) | 2131688, (2131688) | 8033527, (8033527) | 617446, (617446)","1997_1, 1997_13, 1997_37, 1997_43, 1998_9, 1998_37, 1999_27, 1999_28, 1999_30, 1999_59, 2001_54, 2001_65, 2001_86, 2001_88, 2002_13, 2002_83, 2003_86, 2003_116"
total other financing sources,"3159557 | 2600000 | 4367637 | 32000000 | 7203268, (3489957), 3713311 | 3396998, (750000), 2646998 | 71147251, (64765895), 6381356 | 7677963, (6421600), 1256363 | 32712101, (29841980), 2870121 | 39744343, (32332846), 7411497 | 33135775, (30477273), 2658502 | 80053325, (74257108), 5796217 | 8291395, (6953032), 1338363 | 32106992, (31570434), 536558 | 12082726, (9622396), 2460330 | 64787871, (55394566), 9393305 | 21134156, (19970981), 1163175 | 20652816, (18816215), 1836601","1997_13, 1998_9, 1999_27, 1999_30, 2020_146, 2005_115, 2007_60, 2007_71, 2007_77, 2007_86, 2007_97, 2007_115, 2007_146, 2010_71, 2010_97, 2010_115, 2010_117, 2010_146"
operating transfers out (note 4),"(6000000), (18000000) | (9593000), (9593000) | (983720), (983720) | (3803554), (3803554) | (575000), (575000) | (2027639), (2027639) | (1946989) | (8504376), (8504376) | (1000000), (1000000) | (6623760), (6623760) | (17940520), (17940520) | (2737988), (2737988) | (553381), (553381) | (2037341), (2037341) | (3517723), (3517723) | (1731), (1731) | (288000), (288000) | (2090000), (2090000) | (3493570), (3493570)","2001_14, 2002_14, 2007_75, 2007_95, 2008_75, 2008_95, 2009_95, 2010_32, 2010_87, 2011_32, 2012_32, 2012_95, 2012_125, 2016_75, 2016_95, 2017_71, 2017_75, 2017_77, 2017_95"
surplus distribution (note 3),"(9000000), (9000000) | (48000000), (48000000) | (2000000), (2000000) | (13000000), (13000000) | (2000000), (2000000) | (2358000), (2358000) | (3231000), (3231000) | (668000), (668000) | (21539000), (21539000) | (1083000), (1083000) | (843000), (843000) | (415000), (415000) | (666000), (666000) | (21000), (21000) | (961000), (961000} | (229000), (229000) | (626000), (626000) | (102000), (102000) | (54390), (54390) | (1030100), (1030100)","2011_30, 2011_31, 2011_36, 2011_32, 2011_87, 2012_32, 2012_30, 2012_23, 2012_31, 2012_36, 2012_53, 2012_87, 2012_88, 2012_114, 2012_95, 2012_125, 2013_30, 2014_36, 2014_23, 2018_23"
other financing sources,,"1997_1, 1997_13, 1997_37, 1997_43, 1998_1, 1998_9, 1999_27, 1999_28, 1999_30, 1999_37, 1999_59, 2001_13, 2001_23, 2001_30, 2001_54, 2001_57, 2001_61, 2001_65, 2001_73, 2001_86, 2001_88, 2002_87, 2021_110, 2008_14"
total other financing uses - net,"(3996000), (3996000) | (1913311), (1913311) | (14603551), (14603551) | (1130289), (1130289) | (2487753), (2487753) | (999498), (999498) | (1481682), (1481682) | (3752430), (3752430) | (2996933), (2996933) | (1267612), (1267612) | (3978671), (3978671) | (1258651), (1258651) | (1971107), (1971107) | (1243570), (1243570) | (366000), (366000) | (100000), (100000) | (56700000), (56700000) | (1921800), (1921800) | (10616666), (10616666) | (3838600), (3838600) | (5586378), (5586378) | (7000000), (7000000) | (7424800), (7424800) | (200000), (200000) | (48386200), (48386200)","2020_58, 2020_76, 2013_32, 2013_76, 2014_37, 2014_76, 2015_117, 2016_64, 2016_95, 2016_127, 2017_64, 2017_77, 2017_81, 2017_95, 2017_103, 2018_61, 2018_63, 2018_83, 2018_84, 2018_85, 2018_95, 2019_37, 2019_63, 2019_142, 2019_147"
revenues and other financing sources,,"1997_42, 1997_1, 1997_13, 1997_36, 1997_37, 1997_45, 1997_43, 1997_44, 1998_1, 1998_9, 1998_37, 1999_27, 1999_28, 1999_30, 1999_37, 1999_59, 2001_14, 2001_23, 2001_54, 2001_57, 2001_61, 2001_65, 2001_86, 2002_14, 2002_83"
proceeds of debt (note 2),"49520000, (49520000) | 750000, (750000) | 750000, (750000) | 750000, (750000) | 750000, (750000) | 500000, (500000) | 64765895, (64765895) | 6421600, (6421600) | 29841980, (29841980) | 32332846, (32332846) | 9110482, (9110482) | 41800294, (41800294) | 30477273, (30477273) | 873905, (873905) | 1000000, (1000000) | 500000, (500000) | 1000000, (1000000) | 6953032, (6953032) | 500000, (500000) | 31570434, (31570434) | 26658519, (26658519) | 9622396, (9622396) | 55394566, (55394566) | 19970981, (19970981) | 18816215, (18816215)","2004_53, 2004_106, 2004_115, 2005_106, 2005_115, 2006_107, 2007_60, 2007_71, 2007_77, 2007_86, 2007_87, 2007_88, 2007_97, 2007_114, 2007_125, 2007_134, 2007_144, 2007_146, 2008_107, 2010_71, 2010_87, 2010_97, 2010_115, 2010_117, 2010_146"
proceeds of debt,"5530000 | 1800000 | 7035000 | 29000000 | 14800009 | 2600000 | 4367637 | 12295503 | 25000000 | 240315591 | 16800000 | 1000000 | 790000 | 650000 | 350000 | 500000 | 900000, 100000 | 17906858, (17906858) | 1000000, (1000000) | 700000, (700000) | 1200000, (1200000) | 4900000, (4900000) | 865000, (865000) | 805000, (805000) | 3000000, (3000000) | 1150000, (1150000)","1997_42, 1997_13, 1997_36, 1997_45, 1997_44, 1998_9, 1999_27, 1999_28, 1999_30, 2001_14, 2001_23, 2001_54, 2001_57, 2001_61, 2001_65, 2001_73, 2001_88, 2002_15, 2002_84, 2002_87, 2002_93, 2002_95, 2003_75, 2003_81, 2003_85, 2003_108"
over revenues and other financing sources,"(349482), 349482 | (1279050), 1279050 | (125281), 125281 | (23112860), 23112860 | (1751854), 1751854 | (1307590), 1307590 | (4204410), 4204410 | (370256), 370256 | (523919), 523919 | (1027750), 1027750 | (4162750), 4162750 | (2076834), 2076834 | (490959), 490959 | (13227), 13227 | (32924179), 32924179 | (2946808), 2946808 | (585311), 585311 | (1890067), 1890067 | (4172161), 4172161 | (932400), 932400 | (1869589), 1869589 | (1329381), 1329381 | (587297), 587297 | (1538150), 1538150 | (2828092), 2828092 | (56253), 56253 | (2099430), 2099430 | (5099448), 5099448 | (32965509), 32965509 | (1312665), 1312665 | (4144329), 4144329 | (8494513), 8494513 | (840713), 840713 | (111486), 111486","2020_13, 2020_58, 2021_13, 2008_75, 2012_61, 2012_111, 2013_29, 2013_76, 2013_77, 2013_125, 2014_37, 2014_23, 2014_59, 2013_166, 2014_72, 2014_76, 2014_75, 2015_75, 2015_117, 2015_131, 2016_75, 2016_95, 2016_127, 2017_10, 2017_71, 2017_76, 2017_77, 2018_36, 2018_63, 2018_83, 2018_84, 2018_95, 2019_143, 2022_113"
excess of expenditures and other financing uses,,"2002_27, 2020_13, 2020_58, 2021_13, 2008_75, 2012_61, 2012_111, 2013_29, 2013_32, 2013_76, 2013_77, 2013_125, 2014_37, 2014_23, 2014_59, 2013_166, 2014_72, 2014_76, 2014_75, 2015_75, 2015_117, 2015_131, 2016_75, 2016_95, 2016_127, 2017_10, 2017_71, 2017_76, 2017_77, 2018_36, 2018_63, 2018_83, 2018_84, 2018_95, 2019_143, 2022_113"
total other financing sources - net,"23008031, 23008031 | 41123861, 41123861 | 12570031, 12570031 | 27727956, 27727956 | 12165091, 12165091 | 4300000, 4300000 | 17782639, 17782639 | 1874000, 1874000 | 5805000, 5805000 | 199998, 199998 | 1250002, 1250002 | 9578551, 9578551 | 596620, 596620 | 9945610, 9945610 | 25000000, 25000000 | 8016940, 8016940 | 19787753, 19787753 | 3097196, 3097196 | 7968000, 7968000 | 3292589, 3292589 | 938441, 938441 | 1677509, 1677509 | 2086126, 2086126 | 2456441, 2456441 | 2000000, 2000000 | 366000, 366000 | 2273900, 2273900 | 2057961, 2057961 | 149079, 149079 | 4204816, 4204816 | 965740, 965740 | 14776000, 14776000 | 36000, 36000 | 2628000, 2628000 | 250000, 250000 | 8435789, 8435789 | 369745, 369745","2020_13, 2020_109, 2020_110, 2020_157, 2021_13, 2021_95, 2021_109, 2013_30, 2013_29, 2013_77, 2013_84, 2013_86, 2013_125, 2014_23, 2014_59, 2013_166, 2014_72, 2014_75, 2014_147, 2015_75, 2015_131, 2015_143, 2016_69, 2016_75, 2016_103, 2017_10, 2017_61, 2017_71, 2017_76, 2017_75, 2018_92, 2019_33, 2019_75, 2019_74, 2019_143, 2022_109, 2022_113"
sales tax,"210303, 254397 | 138118, 176531 | 365791, 345347 | 339059, 364705 | 133002, 138118 | 344511, 365791 | 930881, 267309 | 319739, 344511 | 1557574, 1300777 | 304412, 304979 | 111187, 111187 | 1736731, 1736731 | 315140, 315140 | 211415, 211415 | 1896542, 1896542 | 93036, 93036 | 327708, 327708 | 163308, 163308 | 1944124, 1944124 | 100027, 100027 | 322976, 322976 | 25547, 25547 | 2008836, 2008836 | 92914, 92914 | 347371, 347371 | 2117759, 2117759 | 76494, 76494 | 335559, 335559 | 1930356, 1930356 | 4916, 4916 | 312130, 312130 | 1669064, 1669064 | 84165, 84165 | 1404740, 1404740 | 1409309, 1409309","1997_15, 1997_20, 1997_41, 1997_47, 1998_20, 1998_41, 1999_15, 1999_41, 2001_15, 2001_41, 2002_20, 2002_15, 2002_41, 2002_47, 2003_15, 2003_20, 2003_41, 2003_47, 2004_15, 2004_20, 2004_41, 2004_47, 2005_15, 2005_20, 2005_41, 2006_15, 2006_20, 2006_41, 2007_15, 2007_20, 2007_41, 2007_50, 2008_15, 2008_41, 2008_154, 2009_15, 2009_120, 2010_15"
debt service,,"1997_42, 1997_15, 1997_13, 1997_28, 1997_36, 1997_41, 1997_45, 1997_44, 1998_9, 1998_16, 1998_31, 1998_41, 1999_15, 1999_16, 1999_27, 1999_28, 1999_30, 1999_36, 1999_41, 1999_45, 2001_9, 2001_13, 2001_15, 2001_18, 2001_23, 2001_27, 2001_30, 2001_36, 2001_41, 2001_42, 2001_45, 2001_44, 2001_54, 2001_57, 2001_58, 2001_61, 2001_65, 2001_73"
total expenditures/expenses,"351991, (150000), 201991 | 408973, (120000), 288973 | 4554100, (1142505), 3411595 | 311071, (150000), 161071 | 2029802, 2029802 | 994256, (345000), 649256 | 442279, (130000), 312279 | 11531763, (3830000), 7701763 | 4401160, (400000), 4001160 | 3965306, (825000), 3140306 | 768876, (255000), 513876 | 304798, (180000), 124798 | 570097, (170000), 400097 | 1920284, (800000), 1120284 | 2094752, (900000), 1194752 | 340084, (75000), 265084 | 229298, (70000), 159298 | 234333, (110000), 124333 | 348041, (253143), 94898 | 9117520, (4433303), 4684217 | 13613324, (11140854), 2472470 | 8644480, (7405249), 1239231 | 18758792, (18373295), 385497 | 406816, (130974), 275842 | 3133588, (2845946), 287642 | 16692783, (14994686), 1698097 | 5210650, (4462361), 748289 | 144055, (41631), 102424 | 9583673, (9443574), 140099 | 362032, (88966), 273066 | 9913511, (4673303), 5240208 | 2109279, (845000), 1264279 | 1859167, (570000), 1289167 | 4471509, (3715879), 755630 | 1058459, (215000), 843459 | 2594473, (1205000), 1389473 | 2585005, (315000), 2270005 | 1606994, (1103326), 503668 | 153178, (79176), 74002 | 172046, (69481), 102565 | 297739, (105860), 191879","2003_9, 2003_13, 2003_15, 2003_18, 2003_23, 2003_28, 2003_27, 2003_31, 2003_30, 2003_32, 2003_36, 2003_41, 2003_42, 2003_44, 2003_45, 2003_54, 2003_57, 2003_58, 2003_65, 2020_53, 2020_71, 2020_87, 2020_88, 2003_69, 2020_97, 2020_115, 2020_117, 2003_73, 2020_146, 2003_75, 2021_53, 2021_71, 2021_87, 2021_88, 2021_97, 2021_115, 2021_117, 2021_146, 2003_81, 2003_84, 2003_87"
operating transfers in (note 2),"1743618 | 24258006 | 525000 | 1743618 | 10500000, 24258006 | 2500000, 10500000 | 183333 | 5000000 | 2000000, 2000000 | 1000000, 1000000 | 2500000, 2900000 | 3600000, 3600000 | 1800000, 1800000 | 441840, 441840 | 4500000, 4500000 | 41699685, 41699685 | 20473465, 20473465 | 2870497, 2870497 | 500000, 500000 | 288609, 288609 | 2500000, 2900000 | 115500, 115500 | 800000, 800000 | 1796120, 1796120 | 1100000, 1100000 | 100000, 100000 | 2450000, 2450000 | 8231438, 8231438 | 5100000, 5100000 | 6580417 | 1979212, 1979212 | 3000000, 3000000 | 13368424, 13368424 | 800000, 800000 | 5770000, 5770000 | 2240135, 2240135 | 4512000, 4512000 | 61312074, 61312074 | 51075247, 51075247 | 5000000, 5000000 | 400000, 400000","1997_1, 1997_37, 1997_43, 1998_1, 1998_37, 1999_37, 1999_59, 2001_86, 2002_83, 2003_63, 2020_57, 2020_61, 2020_76, 2003_67, 2020_79, 2020_109, 2020_110, 2020_134, 2020_143, 2020_144, 2020_149, 2020_161, 2020_163, 2020_166, 2020_177, 2020_183, 2020_184, 2021_64, 2021_95, 2021_110, 2021_134, 2021_156, 2021_157, 2021_161, 2021_163, 2021_166, 2021_182, 2021_183, 2021_184, 2003_86, 2003_116"
other financing sources:,,"2002_13, 2002_83, 2002_84, 2002_93, 2002_95, 2003_13, 2003_36, 2003_45, 2003_63, 2020_57, 2020_61, 2020_71, 2003_67, 2020_79, 2020_88, 2020_97, 2020_115, 2020_134, 2020_143, 2020_144, 2020_146, 2020_149, 2020_161, 2020_163, 2020_166, 2020_177, 2020_183, 2020_184, 2003_75, 2021_64, 2021_97, 2021_115, 2021_134, 2021_146, 2021_156, 2021_157, 2021_161, 2021_163, 2021_166, 2003_81, 2021_182"
interest income (loss),"(15417), (15417) | (3410), (3410) | (37072), (37072) | (1073286), (1073286) | (187894), (187894) | (76373), (76373) | (15582), (15582) | (30651), (30651) | (1145), (1145) | (2622), (2622) | (38375), (38375) | (31895), (31895) | (198228), (198228) | (109270), (109270) | (625), (625) | (33272), (33272) | (133063), (133063) | (32638), (32638) | (16735), (16735) | (114841), (114841) | (34322), (34322) | (2915), (2915) | (2879), (2879) | (6442), (6442) | (2018), (2018) | (8112), (8112) | (2439), (2439) | (12547), (12547) | (3623), (3623) | (1246), (1246) | (11242), (11242) | (278), (278) | (2161), (2161) | (402), (402) | (600), (600) | (72100), (72100) | (369), (369) | (941), (941) | (48), (48) | (460), (460) | (17672), (17672)","2021_9, 2021_24, 2021_29, 2021_30, 2021_34, 2021_37, 2021_53, 2021_58, 2021_66, 2021_67, 2021_68, 2021_70, 2021_72, 2021_85, 2021_86, 2021_91, 2021_94, 2021_96, 2021_100, 2021_104, 2021_110, 2021_113, 2021_119, 2021_123, 2021_124, 2021_129, 2021_130, 2021_133, 2021_140, 2021_144, 2021_150, 2021_151, 2021_164, 2021_166, 2021_171, 2021_172, 2021_174, 2021_175, 2021_177, 2021_182, 2021_183"
operating transfers out (note 3),"(5500000) | (5600000) | (525000) | (1743617) | (2256419) | (87839), (87839) | (7712540), (7712540) | (1180350), (1180350) | (5000000), (5000000) | (481259), (481259) | (100000), (100000) | (1000000), (1000000) | (2450000), (2450000) | (144304), (144304) | (10660335), (10660335) | (2500000), (2500000) | (2900000), (2900000) | (1745000), (1745000) | (5770000), (5770000) | (29600000), (29600000) | (51075247), (51075247) | (10136857), (10136857) | (575824), (575824) | (400000), (400000) | (4175883), (4175883) | (348762), (348762) | (182892), (182892) | (1793647), (1793647) | (1000000), (1000000) | (1560733), (1560733) | (598857), (598857) | (1939267), (1939267) | (90000), (90000) | (1421365), (1421365) | (304927), (304927) | (1108149), (1108149) | (229659), oe, (229659) | (3315000), (3315000) | (246730), (246730) | (250000), (250000) | (250000), (250000)","1997_42, 1997_36, 1997_45, 1997_44, 2001_41, 2002_27, 2002_36, 2002_42, 2003_32, 2003_44, 2020_23, 2020_27, 2020_37, 2020_38, 2020_52, 2020_58, 2020_84, 2020_98, 2021_1, 2021_34, 2021_37, 2021_52, 2021_109, 2003_88, 2004_31, 2004_44, 2004_87, 2005_16, 2005_30, 2005_31, 2005_44, 2005_54, 2005_58, 2004_32, 2005_69, 2005_95, 2006_23, 2006_31, 2006_44, 2006_84, 2006_85"
operating transfers out (note 2),"(1359557) | (297093), (1359557 | (880000), (880000) | (288000), (288000) | (760000), (760000) | (277486), (277486) | (175000), (175000) | (27998), (27998) | (270986), (270986) | (5300000), (5300000) | (500000), (500000) | (1500000), (1500000) | (6000000), (6000000) | (144305), (144305) | (3713311), (3713311) | (2500000), (2500000) | (115500), (115500) | (575824), (575824) | (7903434), (7903434) | (296120), (296120) | (3600000), (3600000) | (62000), (62000) | (110169265), (110169265) | (52712074), (52712074) | (11231488), (11231488) | (2000000), (2000000) | (3076677), (3076677) | (800000), (800000) | (1656159), (1656159) | (4512000), (4512000) | (240135), (240135) | (55000027), (65000027) | (1000000), (1000000) | (379717), (379717) | (390000), (390000) | (739324), (739324) | (391607), (391607) | (4930000), (4930000) | (1104281), (1104281) | (642076), (642076) | (392008), (392008)","1997_20, 1998_20, 2002_3, 2002_5, 2002_19, 2002_20, 2002_25, 2002_100, 2003_20, 2020_1, 2020_5, 2020_54, 2020_64, 2020_75, 2020_76, 2020_89, 2020_95, 2020_109, 2020_110, 2020_113, 2020_118, 2020_172, 2020_180, 2021_33, 2021_35, 2021_54, 2021_76, 2021_95, 2021_98, 2021_103, 2021_113, 2021_180, 2003_101, 2004_20, 2004_29, 2004_34, 2004_33, 2004_37, 2004_52, 2004_63, 2004_94"
and other financing sources,"(2156709), 2156709 | (1708849), 1708849 | (1616401), 1616401 | (14464), 14464 | (2389994), 2389994 | (423982), 423982 | (176434), 176434 | (230379), 230379 | (7284945), 7284945 | (892366), 892366 | (5753081), 5753081 | (11590030), 11590030 | (6294174), 6294174 | (5141268), 5141268 | (226364), 226364 | (31621961), 31621961 | (8948511), 8948511 | (8778023), 8778023 | (10163663), 10163663 | (101924), 101924 | (24593933), 24593933 | (3070408), 3070408 | (6890876), 6890876 | (118065), 118065 | (37374), 37374 | (24692925), 24692925 | (16583031), 16583031 | (7963752), 7963752 | (4851975), 4851975 | (7089428), 7089428 | (11368676), 11368676 | (177040), 177040 | (883579), 883579 | (7152390), 7152390 | (4040566), 4040566 | (102363), 102363 | (2088051), 2088051 | (416030), 416030 | (1673206), 1673206 | (69123), 69123 | (16875), 16875","2020_71, 2020_146, 2020_163, 2020_177, 2021_110, 2004_45, 2004_72, 2006_57, 2007_45, 2008_60, 2008_71, 2008_86, 2008_97, 2008_115, 2009_27, 2009_60, 2009_75, 2009_77, 2009_86, 2009_87, 2009_97, 2009_115, 2009_146, 2009_154, 2010_27, 2010_60, 2010_77, 2011_60, 2011_77, 2011_115, 2011_117, 2011_146, 2011_154, 2012_86, 2013_97, 2013_111, 2013_117, 2013_144, 2013_115, 2013_146, 2013_154"
and other financing uses,"(1847572), 347888 | 16167, (16167) | 62223, (62223) | 38441, (38441) | 45675, (45675) | 41533(41533) | 115547, (115547) | 3865497, (3865497) | 411092, (411092) | 1670638, (1670638) | 2187728, (2187728) | 45338072, (45338072) | 16935, (16935) | 32686038, (32686038) | 3461686, (3461686) | 54203, (54203) | 2735949, (2735949) | 1708233, (1708233) | 770211, (770211) | 1406249, (1406249) | 3026544, (3026544) | 6972038, (6972038) | 4594766, (4594766) | 395845, (395845) | 9464214, (9464214) | 370524, (370524) | 761940, (761940) | 2797091, (2797091) | 1214218, (1214218) | 1238089, (1238089) | 8442838, (8442838) | 259837, (259837) | 1992350, (1992350) | 1813717, (1813717) | 2994668, (2994668) | 606615, (606615) | 16310858, (16310858) | 1190154, (1190154) | 284304, (284304) | 3140065, (3140065) | 1680659, (1680659)","2001_41, 2002_5, 2002_20, 2002_25, 2002_100, 2003_20, 2003_44, 2020_1, 2020_4, 2020_38, 2020_48, 2020_52, 2020_54, 2020_63, 2020_64, 2020_67, 2020_75, 2020_77, 2020_82, 2020_83, 2020_84, 2020_85, 2020_87, 2020_89, 2020_95, 2020_98, 2020_99, 2020_104, 2020_112, 2020_116, 2020_118, 2020_119, 2020_121, 2020_136, 2020_147, 2020_153, 2020_172, 2020_173, 2021_24, 2021_38, 2021_45"
other financing sources (uses):,,"2001_14, 2002_14, 2020_13, 2020_58, 2020_76, 2020_109, 2020_110, 2020_157, 2021_13, 2021_23, 2021_95, 2021_109, 2007_75, 2007_95, 2008_75, 2009_30, 2010_37, 2010_87, 2012_29, 2012_61, 2012_111, 2012_121, 2012_154, 2013_30, 2013_29, 2013_32, 2013_76, 2013_77, 2013_84, 2013_86, 2013_125, 2014_37, 2014_23, 2014_59, 2013_166, 2014_72, 2014_76, 2014_75, 2014_147, 2015_75, 2015_117"
total other financing uses,"(9283000), (9283000) | (1010000), (1010000) | (16998000), (16998000) | (2640304), (2640304) | (6513000), (6513000) | (1812000), (1812000) | (58017425), (58017425) | (13048800), (13048800) | (19623760), (19623760) | (4500000), (4500000) | (5021043), (5021043) | (4978124), (4978124) | (2300000), (2300000) | (6450000), (6450000) | (21000000), (21000000) | (20298520), (20298520) | (4517064), (4517064) | (5003144), (5003144) | (1934866), (1934866) | (4010000), (4010000) | (3641404), (3641404) | (2496869), (2496869) | (2079709), (2079709) | (2286900), (2286900) | (3359759), (3359759) | (1022920), (1022920) | (3453240), (3453240) | (3698988), (3698988) | (782381), (782381) | (9870272), (9870272) | (1749546), (1749546) | (797192), (797192) | (3383000), (3383000) | (2211362), (2211362) | (556950), (556950) | (13166160), (13166160) | (2611900), (2611900) | (1294098), (1294098) | (3336890), (3336890) | (14095900), (14095900) | (2184336), (2184336)","2020_23, 2020_27, 2020_37, 2020_38, 2020_84, 2020_98, 2021_37, 2021_52, 2011_32, 2011_58, 2011_95, 2011_98, 2011_103, 2011_118, 2011_147, 2012_32, 2012_43, 2012_52, 2012_54, 2012_59, 2012_64, 2012_65, 2012_69, 2012_76, 2012_81, 2012_89, 2012_84, 2012_95, 2012_125, 2012_118, 2012_127, 2012_147, 2013_34, 2013_38, 2014_13, 2014_34, 2014_38, 2014_40, 2014_92, 2014_104, 2015_38"
beginning of year,"1170976, 452634, 1623610 | 798407, 111513, 909920 | 719209, 533353, 1252562 | 102130, 140729, 242859 | 563745, 199919, 763664 | 119085, 114579, 233664 | 1136618, 788707, 1925325 | 298231, 49442, 347673 | 1333915, (1164814), 169101 | 406868, 160868, 567736 | 1681626, (2041693), (360067) | 184293093, (236217121), (51924028) | 377929, (1509732), (1131803) | 129208, 777450 | 106840, 299278, 406118 | 1164711, 270397, 1435108 | 1291156, 582897, 1874053 | 4071964, (15235675), (11163711) | 1583272, 461084, 2044356 | 781665, 541859, 1323524 | 2505541, 708433, 3213974 | 947070, (3933549), (2986479) | 2004105, (10426393), (8422288) | 752582, 234972, 987554 | 885570, 220392, 1105962 | 15331860, (51207967), (35876107) | 18025818, (6178863), 11846955 | 10304591, (1424078), 8880513 | 3581348, 1664472, 5245820 | 134873, 97997, 232870 | 7676371, (4705665), 2970706 | 6946739, 3283105, 10229844 | 249342, 495556, 744898 | 1279958, 957000, 2236958 | 2005246, 493800, 2499046 | 2420919, (614656), 1806263 | 2323335, (4599658), (2276323) | 3076311, 930205, 4006516 | 8559969, (10861427), (2301458) | 15144287, (16773995), (1629708) | 237689, 100318, 338007","2002_1, 2002_3, 2002_5, 2002_4, 2002_6, 2002_2, 2002_8, 2002_7, 2002_13, 2002_11, 2002_9, 2002_14, 2002_18, 2002_19, 2002_17, 2002_20, 2002_22, 2002_23, 2002_21, 2002_24, 2002_26, 2002_27, 2002_28, 2002_25, 2002_29, 2002_30, 2002_32, 2002_15, 2002_33, 2002_35, 2002_36, 2002_37, 2002_38, 2002_39, 2002_40, 2002_41, 2002_42, 2002_43, 2002_44, 2002_45, 2002_46"
