year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
2002,67,161749,4811,0,0,0,158174,
2002,69,526425,136938,0,0,0,1273743,
2002,71,328520,10399,0,0,0,891285,
2002,74,265469,189097,0,0,0,279772,
2002,75,113980,6386,0,0,0,259356,
2002,76,382145,139269,0,0,0,578446,
2002,77,1051385,139554,0,0,0,1964493,
2002,78,112220,2920,0,0,0,115812,
2002,82,179018,7492,0,0,0,337873,
2002,86,1397263,561579,0,0,0,4674405,
2002,88,1505575,1340394,0,0,0,1447456,
2002,89,174389,65030,0,0,0,216666,
2002,91,337355,69495,0,0,0,512178,
2002,92,920233,21138,0,0,0,1223332,
2002,96,181751,3960,0,0,0,236178,
2002,98,474741,9043,0,0,0,517377,
2002,101,622979,15517,0,0,0,1131953,
2003,1,998048,451631,0,0,0,1909140,
2003,2,139768,77003,0,0,0,132901,
2003,3,108604,7839,0,0,0,124341,
2003,4,193942,116119,0,0,0,227505,
2003,5,598855,14495,0,0,0,1324462,
2003,6,196048,8194,0,0,0,371424,
2003,7,97999,6964,0,0,0,433131,
2003,9,444756,351991,0,0,0,1814970,
2003,11,1064962,237456,0,0,0,1638609,
2003,15,1999824,4554100,0,0,0,26934773,
2003,17,241795,333662,0,0,0,247301,
2003,18,214644,311071,0,0,0,409103,
2003,19,125867,6136,0,0,0,109392,
2003,21,281481,8968,0,0,0,2402998,
2003,22,612314,14610,0,0,0,2512846,
2003,23,2316674,2029802,0,0,0,4414198,
2003,24,450520,13817,0,0,0,1881406,
2003,25,215041,7735,0,0,0,1002901,
2003,26,1531033,29417,0,0,0,5690884,
2003,27,418284,442279,0,0,0,694787,
2003,28,1090558,994256,0,0,0,2061216,
2003,29,199738,8467,0,0,0,1305309,
2003,30,6951091,4401160,0,0,0,18487688,
2003,31,23035533,11531763,0,0,0,54412396,
2003,33,2261010,127267,0,0,0,6852902,
2003,34,2964839,50854,0,0,0,7399399,
2003,35,737356,16532,0,0,0,947925,
2003,37,5715805,171875,0,0,0,15411927,
2003,39,1057171,810589,0,0,0,1069290,
2003,40,702445,170010,0,0,0,2942378,
2003,41,429395,304798,0,0,0,3215972,
2003,42,695691,570097,0,0,0,1229499,
2003,43,1348698,251307,0,0,0,4964993,
2003,46,97860,225753,0,0,0,246767,
2003,47,18759,5240,0,0,0,2586871,
2003,48,1861125,35606,0,0,0,2502175,
2003,49,417479,541475,0,0,0,462020,
2003,52,7920337,6787956,0,0,0,11485515,
2003,54,1288271,340084,0,0,0,4125757,
2003,55,636767,233662,0,0,0,1234748,
2003,56,334491,694020,0,0,0,371024,
2003,57,237569,229298,0,0,0,762204,
2003,58,987153,234333,0,0,0,2662420,
2003,59,11698494,198929,0,0,0,12763180,
2003,60,1293290,296286,0,0,0,2055957,
2003,61,1236730,25641,0,0,0,1612888,
2003,64,2205987,228842,0,0,0,4928077,
2003,65,790253,348041,0,0,0,544100,
2003,69,967072,406816,0,0,0,1841159,
2003,71,623243,524558,0,0,0,994456,
2003,73,187463,144055,0,0,0,343657,
2003,74,502245,433395,0,0,0,350245,
2003,76,887760,17199,0,0,0,1453188,
2003,77,1204707,46510,0,0,0,3134714,
2003,78,64136,5219,0,0,0,175482,
2003,79,22560,3242,0,0,0,114395,
2003,82,277384,8499,0,0,0,608848,
2003,83,345083,9880,0,0,0,2477460,
2003,84,1119860,172046,0,0,0,3106018,
2003,87,1666222,297739,0,0,0,3950524,
2003,89,348404,9536,0,0,0,657151,
2003,91,446575,69934,0,0,0,891998,
2003,92,1572599,24415,0,0,0,2779947,
2003,93,454498,207705,0,0,0,856669,
2003,94,2842894,421787,0,0,0,3208193,
2003,95,3216824,559963,0,0,0,8550969,
2003,96,256743,8270,0,0,0,486305,
2003,97,168496,5357,0,0,0,263016,
2003,98,724188,377998,0,0,0,867393,
2003,99,261432,8243,0,0,0,430352,
2003,100,525572,12914,0,0,0,657514,
2003,102,292732,7731,0,0,0,364663,
2003,103,881151,619152,0,0,0,1036937,
2003,105,224392,7951,0,0,0,377509,
2003,106,1030922,20906,0,0,0,1290139,
2003,107,200441,6175,0,0,0,225903,
2003,109,627221,97633,0,0,0,938949,
2003,110,1836988,43369,0,0,0,3440691,
2004,1,1217624,306654,0,0,0,2845462,
2004,2,147647,108960,0,0,0,172345,
2004,3,147104,7226,0,0,0,265067,
2004,4,201869,115181,0,0,0,315322,
2004,5,348300,11004,0,0,0,1667667,
2004,6,229352,8524,0,0,0,594235,
2004,7,61086,5774,0,0,0,492392,
2004,8,914224,734683,0,0,0,1639163,
2004,9,683301,348838,0,0,0,2157745,
2004,10,331863,8086,0,0,0,349496,
2004,11,1200456,79268,0,0,0,2768243,
2004,14,72472186,115069037,0,0,0,202013096,
2004,15,1566238,9420381,0,0,0,21123418,
2004,16,1649261,682777,0,0,0,5224408,
2004,17,220845,7610,0,0,0,462056,
2004,18,178849,310286,0,0,0,330999,
2004,19,155097,6505,0,0,0,258648,
2004,21,614512,15533,0,0,0,3018376,
2004,23,2752796,2294447,0,0,0,7787573,
2004,24,576733,101790,0,0,0,2369667,
2004,25,202472,7174,0,0,0,1202609,
2004,26,1416466,77253,0,0,0,7077447,
2004,27,446709,509686,0,0,0,641367,
2004,28,950373,1039166,0,0,0,1983297,
2004,30,8741186,5242479,0,0,0,22108426,
2004,35,999558,843241,0,0,0,1106810,
2004,36,1976786,1376782,0,0,0,5751486,
2004,38,1205486,101216,0,0,0,1891708,
2004,39,1065067,994202,0,0,0,1144657,
2004,40,607448,702939,0,0,0,2876502,
2004,41,129364,302115,0,0,0,3384944,
2004,43,1111089,627965,0,0,0,5469407,
2004,46,86354,195456,0,0,0,138096,
2004,47,79596,15472,0,0,0,2703551,
2004,48,2160139,132803,0,0,0,4543539,
2004,49,221113,365145,0,0,0,320287,
2004,54,1443844,317825,0,0,0,5271899,
2004,55,848979,518417,0,0,0,1571303,
2004,56,330797,9669,0,0,0,694592,
2004,57,475685,366338,0,0,0,874753,
2004,58,1561459,297038,0,0,0,3939363,
2004,59,10446636,174619,0,0,0,23109608,
2004,60,1693852,30466,0,0,0,3730224,
2004,61,2394202,1076626,0,0,0,2940538,
2004,64,2887774,517108,0,0,0,7347854,
2004,65,1288192,25414,0,0,0,1811235,
2004,66,529334,351090,0,0,0,647476,
2004,67,181111,245747,0,0,0,674445,
2004,68,1612564,25191,0,0,0,1609156,
2004,69,1839613,363247,0,0,0,3326699,
2004,70,1080225,270658,0,0,0,2400728,
2004,71,904730,118132,0,0,0,1785992,
2004,73,306048,195481,0,0,0,455770,
2004,74,1235317,63762,0,0,0,1524768,
2004,75,1047230,275355,0,0,0,2382341,
2004,76,1762034,31742,0,0,0,3191456,
2004,77,1594731,1226327,0,0,0,3516780,
2004,78,1563,4028,0,0,0,173715,
2004,79,129937,5943,0,0,0,238959,
2004,80,134491,4900,0,0,0,166312,
2004,82,833865,15872,0,0,0,1430084,
2004,83,771728,15427,0,0,0,3244122,
2004,84,2350510,380724,0,0,0,5088614,
2004,85,3326909,516082,0,0,0,7267759,
2004,86,5331903,1396156,0,0,0,16699605,
2004,88,4394370,1324172,0,0,0,5791777,
2004,89,729604,15041,0,0,0,1274787,
2004,92,211167,27806,0,0,0,2974886,
2004,95,5255778,839311,0,0,0,13012237,
2004,97,404475,9513,0,0,0,659403,
2004,98,1157729,123351,0,0,0,1906800,
2004,99,333963,9253,0,0,0,757300,
2004,100,1046104,19342,0,0,0,1688559,
2004,101,1074727,22659,0,0,0,2024038,
2004,102,108465,365774,0,0,0,108412,
2004,103,1505447,76606,0,0,0,2471926,
2004,104,1797025,31620,0,0,0,2773130,
2004,105,457218,10848,0,0,0,825750,
2004,107,533338,11715,0,0,0,748911,
2004,108,1380586,661385,0,0,0,2482353,
2004,109,1354401,599742,0,0,0,1697434,
2004,110,3610487,218372,0,0,0,6849374,
2004,112,367524,9355,0,0,0,472315,
2004,113,171672,5203,0,0,0,173631,
2004,117,1039881,19899,0,0,0,1450170,
2004,118,2010067,33937,0,0,0,2271720,
2004,121,1033498,19139,0,0,0,1249357,
2004,123,316733,7822,0,0,0,379982,
2004,125,210800,5830,0,0,0,253756,
2005,1,1817566,635265,0,0,0,4130391,
2005,2,162848,91468,0,0,0,246619,
2005,3,210560,6694,0,0,0,472985,
2005,4,229968,125769,0,0,0,424091,
2005,5,316004,9168,0,0,0,1998190,
2005,6,255556,8347,0,0,0,850835,
2005,7,0,4842,0,0,0,495577,
2005,8,1115690,732839,0,0,0,2107683,
2005,9,632790,347831,0,0,0,2473894,
2005,10,529468,11165,0,0,0,873729,
2005,11,1530164,59467,0,0,0,4282838,
2005,14,89348830,107543597,0,0,0,202190201,
2005,17,227004,7180,0,0,0,689032,
2005,18,200329,304875,0,0,0,472093,
2005,19,165449,6333,0,0,0,422019,
2005,21,517286,11700,0,0,0,3637564,
2005,23,2100994,2557895,0,0,0,7477027,
2005,24,325386,61090,0,0,0,2666821,
2005,25,197370,6888,0,0,0,1409789,
2005,28,1098170,1000079,0,0,0,2133201,
2005,32,8466387,1479934,0,0,0,30449847,
2005,33,2527977,162594,0,0,0,11171677,
2005,34,4440883,119505,0,0,0,11352674,
2005,35,1039162,893959,0,0,0,1263831,
2005,36,2364639,2401160,0,0,0,5864395,
2005,38,1356943,83700,0,0,0,3197819,
2005,39,1151124,1109286,0,0,0,1197753,
2005,41,275108,315647,0,0,0,3761150,
2005,42,687041,667584,0,0,0,1239727,
2005,43,1449409,226232,0,0,0,6771588,
2005,47,162241,13344,0,0,0,2924905,
2005,48,2424013,221804,0,0,0,6817510,
2005,53,6772841,8265142,0,0,0,44013386,
2005,55,1019839,275596,0,0,0,2340036,
2005,56,354175,8684,0,0,0,1051255,
2005,60,1623987,78392,0,0,0,5333804,
2005,61,2711072,85298,0,0,0,5621766,
2005,62,80586,3693,0,0,0,128221,
2005,63,15682695,7352289,0,0,0,22579701,
2005,65,1535860,25896,0,0,0,3352902,
2005,66,486954,322182,0,0,0,820415,
2005,68,3160864,44790,0,0,0,4763496,
2005,70,1059686,315212,0,0,0,3183731,
2005,71,1081554,168021,0,0,0,2727570,
2005,72,409746,11042,0,0,0,1168128,
2005,74,1142308,26604,0,0,0,2667654,
2005,76,1901274,30202,0,0,0,5115209,
2005,78,17716,4311,0,0,0,189415,
2005,79,112767,5664,0,0,0,349808,
2005,82,901228,18050,0,0,0,2336509,
2005,83,786373,14835,0,0,0,4062538,
2005,84,2659964,191246,0,0,0,7639220,
2005,85,3586513,1375839,0,0,0,9592343,
2005,86,7543627,1171927,0,0,0,23318165,
2005,87,3180936,1143376,0,0,0,8107844,
2005,88,4508666,1886028,0,0,0,8512607,
2005,89,951773,23892,0,0,0,2224135,
2005,91,630655,209849,0,0,0,1614112,
2005,92,609305,14075,0,0,0,3611652,
2005,93,516728,233775,0,0,0,1361288,
2005,94,6458316,4088245,0,0,0,9569800,
2005,96,651694,17116,0,0,0,1671089,
2005,97,491251,11801,0,0,0,1149819,
2005,99,409746,11042,0,0,0,1168128,
2005,101,1151080,253888,0,0,0,2954675,
2005,102,190341,181741,0,0,0,118690,
2005,103,1197851,476326,0,0,0,3230304,
2005,104,5408089,83366,0,0,0,8156323,
2005,105,455159,9964,0,0,0,1283962,
2005,107,614762,12405,0,0,0,1364779,
2005,108,1394121,271517,0,0,0,3645404,
2005,109,1564167,1485082,0,0,0,1798765,
2005,110,4682345,5607934,0,0,0,6012669,
2005,111,141074,4679,0,0,0,171253,
2005,113,216395,6843,0,0,0,386662,
2005,114,279345,7627,0,0,0,569451,
2005,115,2420796,1801054,2646998,0,0,7143810,
2005,116,535440,11912,0,0,0,1764884,
2005,117,1226082,148517,0,0,0,2552811,
2005,118,2960649,53160,0,0,0,5225769,
2005,120,137279,4650,0,0,0,175341,
2005,121,1309704,363891,0,0,0,2216007,
2005,122,545418,11482,0,0,0,1014883,
2005,123,427385,9505,0,0,0,805490,
2005,125,366233,27846,0,0,0,597239,
2005,127,1170380,17214,0,0,0,2816949,
2005,128,1044638,18190,0,0,0,1994371,
2005,130,2691994,31825,0,0,0,2839458,
2005,131,159517,6254,0,0,0,425664,
2006,1,2832760,757379,0,0,0,6472039,
2006,2,165618,82633,0,0,0,334907,
2006,4,258109,94529,0,0,0,596853,
2006,5,307486,751772,0,0,0,1587806,
2006,7,0,4382,0,0,0,602043,
2006,8,838780,725187,0,0,0,2352313,
2006,9,690310,355289,0,0,0,2858122,
2006,10,518670,357024,0,0,0,1052199,
2006,11,1362689,129929,0,0,0,5601294,
2006,15,1709844,3861226,0,0,0,19354568,
2006,16,2312843,771418,0,0,0,6939081,
2006,17,230569,26686,0,0,0,907998,
2006,18,193286,314146,0,0,0,377136,
2006,21,472921,21194,0,0,0,4237453,
